,Question Entity,Answer
['പുരുഷ വേശ്യയെക്കുറിച്ചുള്ള സിനിമകൾ'],['പുരുഷ വേശ്യ'],[['നിഗൂഢമായ ചർമ്മം']]
['സ്‌പഷ്‌ടമായ ലൈംഗികത കൊണ്ട് എന്ത് സിനിമകളെ വിവരിക്കാം'],['വ്യക്തമായ ലൈംഗികത'],"[['കാമം, ജാഗ്രത']]"
['സാറ പോളിയെ ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['സാറാ പോളി'],"[['വാക്കുകളുടെ രഹസ്യ ജീവിതം', 'സ്പ്ലൈസ്', 'മിസ്റ്റർ. ആരും', 'പോകുക', 'അവളിൽ നിന്ന് അകന്നുപോവുക', 'ഈ വാൾട്ട്സ് എടുക്കുക', 'നാം പറയുന്ന കഥകൾ', 'മരിച്ചവരുടെ പ്രഭാതം', 'അങ്ങനെയൊന്നുമില്ല']]"
['ആൻഡി ലോയെ കുറിച്ചുള്ള സിനിമകൾ'],['ആൻഡി ലോ'],"[['വന്യമായ ദിവസങ്ങൾ', 'ഷാവോലിൻ', 'സമയമില്ലാതെ', 'നരകസംഭവങ്ങൾ', 'സമ്പന്നരും പ്രശസ്തരും', 'പറക്കുന്ന കഠാരകളുടെ വീട്']]"
['പീറ്റ് പോസ്‌റ്റ്‌ലെത്ത്‌വെയ്‌റ്റിനൊപ്പം ഏതൊക്കെ സിനിമകളെ വിവരിക്കാം'],['പീറ്റ് പോസ്റ്റ്‌ലെത്ത്‌വൈറ്റ്'],"[['അച്ഛന്റെ പേരിൽ', 'ഇരുണ്ട വെള്ളം', 'സാധാരണ സംശയിക്കുന്നവർ']]"
['അലസ്റ്റർ സിമ്മിനെ കുറിച്ചുള്ള സിനിമകൾ'],['അലിസ്റ്റർ സിം'],[['സഭാകമ്പം']]
['ഏത് സിനിമകളാണ് മൈക്ക് ഹാമറിനെക്കുറിച്ചുള്ളത്'],['മൈക്ക് ഹാമർ'],"[['ഞാൻ, ജൂറി', 'എന്നെ മാരകമായി ചുംബിക്കുക', 'എന്റെ തോക്ക് പെട്ടെന്നാണ്']]"
['ഏതൊക്കെ സിനിമകളാണ് നിരീക്ഷണത്തെക്കുറിച്ചുള്ളത്'],['നിരീക്ഷണ'],"[['പാനിക് റൂം', 'ഒരു സ്കാനർ ഡാർക്ക്ലി', 'ബോഡി ഓഫ് നുണകൾ', 'നൈറ്റ്റ്റീൻ എൺപത്തി നാല്']]"
['ചാരവൃത്തിയെക്കുറിച്ചുള്ള സിനിമകൾ ഏതാണ്?'],['ചാരവൃത്തി?'],[['ipcress ഫയൽ']]
['ക്വെന്റിൻ ടരാന്റിനോയെക്കുറിച്ചുള്ള സിനിമകൾ എന്തൊക്കെയാണ്'],['ക്വെന്റിൻ ടരാന്റിനോ'],"[['ഹെൽ റൈഡ്', 'ഗ്രൈൻഡ്‌ഹൗസ്', 'ഇംഗ്ലോറിയസ് ബാസ്റ്റർഡ്‌സ്', 'ജാക്കി ബ്രൗൺ', 'പൾപ്പ് ഫിക്ഷൻ', 'ജാങ്കോ അൺചെയിൻഡ്', 'ഫോർ റൂമുകൾ', 'റിസർവോയർ ഡോഗ്‌സ്', 'ട്രൂ റൊമാൻസ്', 'ഡെത്ത് പ്രൂഫ്' ]]"
['ബട്ട്‌ലറിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ബട്ട്ലർ'],"[['ദിവസത്തിന്റെ അവശിഷ്ടങ്ങൾ', 'മൈ മാൻ ഗോഡ്ഫ്രെ']]"
['കാർ ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['കാർ'],[['കറുത്ത ചന്ദ്രൻ ഉദിക്കുന്നു']]
['മാത്യൂ ലില്ലാർഡിനെക്കുറിച്ചുള്ള സിനിമകൾ ഏതൊക്കെയാണ്'],['മാത്യു ലില്ലാർഡ്'],"[['വിക്കർ പാർക്ക്', 'സ്കൂബി-ഡൂ']]"
['റോബർട്ട് വോണിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['റോബർട്ട് വോൺ'],"[['മഗ്നിഫിഷ്യന്റ് സെവൻ', 'ബുള്ളിറ്റ്']]"
['ഏതൊക്കെ സിനിമകൾ പുരോഹിതനെക്കുറിച്ചാണ്'],['പുരോഹിതൻ'],"[['മോശം വിദ്യാഭ്യാസം', 'ഒരു നാടൻ പുരോഹിതന്റെ ഡയറി', 'അച്ഛൻ ജേക്കബിനുള്ള കത്തുകൾ', 'പുരോഹിതൻ', 'എമിലി റോസിന്റെ ഭൂതോച്ചാടനം', 'ഭോക്താവ്']]"
['ചീച്ച് മരിന് ഏതൊക്കെ സിനിമകളെ വിവരിക്കാം'],['ചീച്ച് മരിൻ'],"[['പുകയിൽ കയറി', 'മാഷെ', 'കിഴക്ക് എൽ.എ.യിൽ ജനിച്ചത്', 'ബാർബിയിലെ ചെമ്മീൻ']]"
['സെലിൻ സിയമ്മയെ കൊണ്ട് എന്ത് സിനിമകളെ വിവരിക്കാം'],['സെലിൻ സിയമ്മ'],"[['വാട്ടർ ലില്ലി', 'ടോംബോയ്', 'ഗേൾഹുഡ്']]"
